ID,crash_style,max,mean,norm,record_time,baseID
1,3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:08,1
1,-3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:08,1
1,4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:08,1
1,-4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:08,1
1,5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:08,1
1,-5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:08,1
1,6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:08,1
1,-6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:08,1
2,3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:11,2
2,-3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:11,2
2,4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:11,2
2,-4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:11,2
2,5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:11,2
2,-5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:11,2
2,6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:11,2
2,-6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:11,2
3,3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:15,3
3,-3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:15,3
3,4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:15,3
3,-4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:15,3
3,5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:15,3
3,-5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:15,3
3,6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:15,3
3,-6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:15,3
4,3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:18,4
4,-3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:18,4
4,4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:18,4
4,-4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:18,4
4,5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:18,4
4,-5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:18,4
4,6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:18,4
4,-6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:18,4
5,3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:21,5
5,-3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:21,5
5,4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:21,5
5,-4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:21,5
5,5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:21,5
5,-5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:21,5
5,6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:21,5
5,-6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:21,5
6,3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:24,6
6,-3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:24,6
6,4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:24,6
6,-4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:24,6
6,5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:24,6
6,-5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:24,6
6,6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:24,6
6,-6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:24,6
7,3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:27,7
7,-3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:27,7
7,4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:27,7
7,-4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:27,7
7,5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:27,7
7,-5,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:27,7
7,6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:27,7
7,-6,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:27,7
8,3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:29,8
8,-3,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:29,8
8,4,0.06462788977660239,0.019173582642670228,0.005485720689925633,2020-02-25 11:36:29,8
